property_name	parent_property	path	type	description	enum	pattern	required	recommended	source	condition
methods		methods	object	Methods used to extract genomic material from provided samples. These are kept as separate subsections because they are populated from different workflow sources.			No	No	ToLPortal	
involved_persons	methods	methods.involved_persons	array				No	No	AuthorsDB	
authorsdb_id	involved_persons	methods.involved_persons.authorsdb_id	string	ID from AuthorsDB			No	No	AuthorsDB	
role	involved_persons	methods.involved_persons.role	array	Used to assign credit of author to the outputs in the Genome Note - currently also repeated in each section			Yes	No	AuthorsDB	
email	involved_persons	methods.involved_persons.email	string				Yes	No	AuthorsDB	
corresponding	involved_persons	methods.involved_persons.corresponding	boolean				No	No	AuthorsDB	
affiliations	involved_persons	methods.involved_persons.affiliations	array	Array of affiliations for each author should be a list of IDs, determined by the affiliation array below			Yes	No	AuthorsDB	
name	involved_persons	methods.involved_persons.name	string	Name of the consortia or contributing group			Conditional	No	AuthorsDB	if/then
surname	involved_persons	methods.involved_persons.surname	string	Family name of the author			Conditional	No	AuthorsDB	if/else
middle_names	involved_persons	methods.involved_persons.middle_names	string	Middle names of the author			No	No	AuthorsDB	if/else
given_names	involved_persons	methods.involved_persons.given_names	string	Given names of the author (First name)			Conditional	No	AuthorsDB	if/else
gal_association	involved_persons	methods.involved_persons.gal_association	string	GAL association if applicable - Collectors ONLY			No	No	AuthorsDB	if/else
gal_hub	involved_persons	methods.involved_persons.gal_hub	string	GAL Hub/Institute responsible for the collection			No	Yes	AuthorsDB	if/else
orcid	involved_persons	methods.involved_persons.orcid	string	ORCID of the author/person			Conditional	No	AuthorsDB	if/else
extraction_protocol	methods	methods.extraction_protocol	array	Protocols used for the extraction of the assembly set. Should be listed in the references.			No	No	ToLPortal	
protocol_id	extraction_protocol	methods.extraction_protocol.protocol_id	string	Link to the reference ID of the protocol - citation_key of references_schema.json			No	No	ToLPortal	
type	extraction_protocol	methods.extraction_protocol.type	array	Type of Protocol			No	No	ToLPortal	
role	extraction_protocol	methods.extraction_protocol.role	array				No	No	ToLPortal	
version	extraction_protocol	methods.extraction_protocol.version	string	Version of the protocol/workflow/tool/software			No	No	ToLPortal	
source	extraction_protocol	methods.extraction_protocol.source	string	Source of the Protocol			No	No	ToLPortal	
doi	extraction_protocol	methods.extraction_protocol.doi	string	DOI of the Protocol			No	No	ToLPortal	
parameters	extraction_protocol	methods.extraction_protocol.parameters	string	Any specific parameters for the Protocol			No	No	ToLPortal	
notes	extraction_protocol	methods.extraction_protocol.notes	string	Any notes or comments about the Protocol			No	No	ToLPortal	
sample_processing	methods	methods.sample_processing	array	Details of extraction methods/protocols.			No	No	ToLPortal	
sample_role	sample_processing	methods.sample_processing.sample_role		Role of this sample in the genome note workflow.	pacbio, hic, ont, rna, isoseq, chromium, other		No	No	ToLPortal	
nucleic_acid_extraction	sample_processing	methods.sample_processing.nucleic_acid_extraction	array	Wet-lab extraction and tissue-preparation metadata.			No	No	ToLPortal	
sample_role	nucleic_acid_extraction	methods.sample_processing.nucleic_acid_extraction.sample_role			pacbio, hic, rna, isoseq, chromium, other		No	No	ToLPortal	
sample_accession	nucleic_acid_extraction	methods.sample_processing.nucleic_acid_extraction.sample_accession	string				Yes	No	ToLPortal	
extraction_protocol	nucleic_acid_extraction	methods.sample_processing.nucleic_acid_extraction.extraction_protocol	string	Give identifier of protocol in References			No	No	ToLPortal	
extraction_protocol_plaintext	nucleic_acid_extraction	methods.sample_processing.nucleic_acid_extraction.extraction_protocol_plaintext	string	Publication-ready plaintext summary of the extraction protocol			No	No	ToLPortal	
protocol	nucleic_acid_extraction	methods.sample_processing.nucleic_acid_extraction.protocol	string	Display name for the extraction protocol, where separate from extraction_protocol.			No	No	ToLPortal	
dna_yield_ng	nucleic_acid_extraction	methods.sample_processing.nucleic_acid_extraction.dna_yield_ng	number				No	No	ToLPortal	
volume_ul	nucleic_acid_extraction	methods.sample_processing.nucleic_acid_extraction.volume_ul	number				No	No	ToLPortal	
qubit_ngul	nucleic_acid_extraction	methods.sample_processing.nucleic_acid_extraction.qubit_ngul	number				No	No	ToLPortal	
ratio_260_280	nucleic_acid_extraction	methods.sample_processing.nucleic_acid_extraction.ratio_260_280	number				No	No	ToLPortal	
ratio_260_230	nucleic_acid_extraction	methods.sample_processing.nucleic_acid_extraction.ratio_260_230	number				No	No	ToLPortal	
nanodrop_concentration_ngul	nucleic_acid_extraction	methods.sample_processing.nucleic_acid_extraction.nanodrop_concentration_ngul	number				No	No	ToLPortal	
fragment_size_kb	nucleic_acid_extraction	methods.sample_processing.nucleic_acid_extraction.fragment_size_kb	number				No	No	ToLPortal	
gqn	nucleic_acid_extraction	methods.sample_processing.nucleic_acid_extraction.gqn	number				No	No	ToLPortal	
spri_type	nucleic_acid_extraction	methods.sample_processing.nucleic_acid_extraction.spri_type	string				No	No	ToLPortal	
disruption_method	nucleic_acid_extraction	methods.sample_processing.nucleic_acid_extraction.disruption_method	string				No	No	ToLPortal	
tissue_type	nucleic_acid_extraction	methods.sample_processing.nucleic_acid_extraction.tissue_type	string				Yes	No	ToLPortal	
tissue_weight_mg	nucleic_acid_extraction	methods.sample_processing.nucleic_acid_extraction.tissue_weight_mg	number	Mass/weight of tissue taken for extraction, in milligrams.			No	No	ToLPortal	
