property_name	parent_property	path	type	description	enum	pattern	required	recommended	source	condition
assembly_methods		assembly_methods	object				No	No	ToLQC	
involved_persons	assembly_methods	assembly_methods.involved_persons	array				No	No	AuthorsDB	
authorsdb_id	involved_persons	assembly_methods.involved_persons.authorsdb_id	string	ID from AuthorsDB			No	No	AuthorsDB	
role	involved_persons	assembly_methods.involved_persons.role	array	Used to assign credit of author to the outputs in the Genome Note - currently also repeated in each section			Yes	No	AuthorsDB	
email	involved_persons	assembly_methods.involved_persons.email	string				Yes	No	AuthorsDB	
corresponding	involved_persons	assembly_methods.involved_persons.corresponding	boolean				No	No	AuthorsDB	
affiliations	involved_persons	assembly_methods.involved_persons.affiliations	array	Array of affiliations for each author should be a list of IDs, determined by the affiliation array below			Yes	No	AuthorsDB	
name	involved_persons	assembly_methods.involved_persons.name	string	Name of the consortia or contributing group			Conditional	No	AuthorsDB	if/then
surname	involved_persons	assembly_methods.involved_persons.surname	string	Family name of the author			Conditional	No	AuthorsDB	if/else
middle_names	involved_persons	assembly_methods.involved_persons.middle_names	string	Middle names of the author			No	No	AuthorsDB	if/else
given_names	involved_persons	assembly_methods.involved_persons.given_names	string	Given names of the author (First name)			Conditional	No	AuthorsDB	if/else
gal_association	involved_persons	assembly_methods.involved_persons.gal_association	string	GAL association if applicable - Collectors ONLY			No	No	AuthorsDB	if/else
gal_hub	involved_persons	assembly_methods.involved_persons.gal_hub	string	GAL Hub/Institute responsible for the collection			No	Yes	AuthorsDB	if/else
orcid	involved_persons	assembly_methods.involved_persons.orcid	string	ORCID of the author/person			Conditional	No	AuthorsDB	if/else
assembly_method_text	assembly_methods	assembly_methods.assembly_method_text	string	Publication-ready or template-generated text describing the assembly method.			Yes	No	ToLQC	
assembly_software	assembly_methods	assembly_methods.assembly_software	array	Software/Pipelines used for assembly generation, scaffolding or purging, for example Hifiasm, purge_dups or YaHS. Should be listed in the references.			No	No	ToLQC	
protocol_id	assembly_software	assembly_methods.assembly_software.protocol_id	string	Link to the reference ID of the protocol - citation_key of references_schema.json			No	No	ToLQC	
type	assembly_software	assembly_methods.assembly_software.type	array	Type of Protocol			No	No	ToLQC	
role	assembly_software	assembly_methods.assembly_software.role	array				No	No	ToLQC	
