property_name	parent_property	path	type	description	enum	pattern	required	recommended	source	condition
annotation		annotation	array	Annotation method performed and output. Ideally link to workflow (doi) and optional free text description			No	No		
involved_persons	annotation	annotation.involved_persons	array				No	No	AuthorsDB	
authorsdb_id	involved_persons	annotation.involved_persons.authorsdb_id	string	ID from AuthorsDB			No	No	AuthorsDB	
role	involved_persons	annotation.involved_persons.role	array	Used to assign credit of author to the outputs in the Genome Note - currently also repeated in each section			Yes	No	AuthorsDB	
email	involved_persons	annotation.involved_persons.email	string				Yes	No	AuthorsDB	
corresponding	involved_persons	annotation.involved_persons.corresponding	boolean				No	No	AuthorsDB	
affiliations	involved_persons	annotation.involved_persons.affiliations	array	Array of affiliations for each author should be a list of IDs, determined by the affiliation array below			Yes	No	AuthorsDB	
name	involved_persons	annotation.involved_persons.name	string	Name of the consortia or contributing group			Conditional	No	AuthorsDB	if/then
surname	involved_persons	annotation.involved_persons.surname	string	Family name of the author			Conditional	No	AuthorsDB	if/else
middle_names	involved_persons	annotation.involved_persons.middle_names	string	Middle names of the author			No	No	AuthorsDB	if/else
given_names	involved_persons	annotation.involved_persons.given_names	string	Given names of the author (First name)			Conditional	No	AuthorsDB	if/else
gal_association	involved_persons	annotation.involved_persons.gal_association	string	GAL association if applicable - Collectors ONLY			No	No	AuthorsDB	if/else
gal_hub	involved_persons	annotation.involved_persons.gal_hub	string	GAL Hub/Institute responsible for the collection			No	Yes	AuthorsDB	if/else
orcid	involved_persons	annotation.involved_persons.orcid	string	ORCID of the author/person			Conditional	No	AuthorsDB	if/else
annotation_software	annotation	annotation.annotation_software	array	Software/Pipelines used for the annotation of the assembly set. Should be listed in the references.			No	No		
protocol_id	annotation_software	annotation.annotation_software.protocol_id	string	Link to the reference ID of the protocol - citation_key of references_schema.json			No	No		
type	annotation_software	annotation.annotation_software.type	array	Type of Protocol			No	No		
role	annotation_software	annotation.annotation_software.role	array				No	No		
version	annotation_software	annotation.annotation_software.version	string	Version of the protocol/workflow/tool/software			No	No		
source	annotation_software	annotation.annotation_software.source	string	Source of the Protocol			No	No		
doi	annotation_software	annotation.annotation_software.doi	string	DOI of the Protocol			No	No		
parameters	annotation_software	annotation.annotation_software.parameters	string	Any specific parameters for the Protocol			No	No		
notes	annotation_software	annotation.annotation_software.notes	string	Any notes or comments about the Protocol			No	No		
accession	annotation	annotation.accession	string				No	No		
data_used	annotation	annotation.data_used	array				No	No		
accession	data_used	annotation.data_used.accession	string				No	No		
methods	annotation	annotation.methods	string				No	No		
statistics	annotation	annotation.statistics	object	Key statistics of annotation outcomes, to be updated in future			No	No		
total_gene_count	statistics	annotation.statistics.total_gene_count	integer				No	No		
mean_gene_length	statistics	annotation.statistics.mean_gene_length	number				No	No		
mean_mrna_length	statistics	annotation.statistics.mean_mrna_length	number				No	No		
number_single_exon_genes	statistics	annotation.statistics.number_single_exon_genes	integer				No	No		
busco	statistics	annotation.statistics.busco	object				No	No		
tool_version	busco	annotation.statistics.busco.tool_version	string	Version of the BUSCO tool used			Yes	No		
results	busco	annotation.statistics.busco.results	array				No	No		
